player_id,name,position,shoots,height_cm,weight_kg,college,draft_year,nba_debut,experience_years,is_active,birth_date,birth_place
chiozch01,Chris Chiozza,Point Guard,Right,180,81,Florida,,"March 24, 2019",4,False,1995-11-21,Tennessee
nurkiju01,Jusuf NurkiÄ,Center,Right,211,131,,2014.0,"October 29, 2014",12,True,1994-08-23,Bosnia and Herzegovina
willike04,Kenrich Williams,Power Forward and Small Forward,Right,201,95,TCU,,"October 17, 2018",8,True,1994-12-02,Texas
silvach01,Chris Silva,Power Forward,Right,203,106,South Carolina,,"October 23, 2019",4,False,1996-09-19,Gabon
wilsodj01,D.J. Wilson,Power Forward,Right,208,104,Michigan,2017.0,"October 20, 2017",6,False,1996-02-19,California
vonleno01,Noah Vonleh,Power Forward and Center,Right,208,116,Indiana,2014.0,"November 15, 2014",8,False,1995-08-24,Massachusetts
evansja02,Jacob Evans,Shooting Guard,Right,193,95,Cincinnati,2018.0,"October 22, 2018",2,True,1997-06-18,North Carolina
winslju01,Justise Winslow,"Power Forward, Small Forward, and Shooting Guard",Left,198,100,Duke,2015.0,"October 28, 2015",8,False,1996-03-26,Texas
edwarca01,Carsen Edwards,Shooting Guard,Right,180,90,Purdue,2019.0,"October 23, 2019",3,True,1998-03-12,Texas
pinsoth01,Theo Pinson,Shooting Guard and Small Forward,Right,196,96,UNC,,"October 20, 2018",5,False,1995-11-05,North Carolina
paytoga02,Gary Payton II,"Shooting Guard, Point Guard, and Small Forward",Left,188,88,Oregon State,,"April 2, 2017",10,True,1992-12-01,Washington
martica02,Caleb Martin,Small Forward,Right,196,92,,,"October 25, 2019",7,True,1995-09-28,North Carolina
waitedi01,Dion Waiters,Shooting Guard,Right,190,97,Syracuse,2012.0,"October 30, 2012",8,False,1991-12-10,Pennsylvania
eubandr01,Drew Eubanks,Center and Power Forward,Right,208,111,Oregon State,,"October 20, 2018",8,True,1997-02-01,Mississippi
harteis01,Isaiah Hartenstein,Center and Power Forward,Left,213,113,,2017.0,"October 17, 2018",8,True,1998-05-05,Oregon
leeco01,Courtney Lee,Shooting Guard,Right,196,97,Western Kentucky,2008.0,"November 3, 2008",12,False,1985-10-03,Indiana
bendedr01,Dragan Bender,Power Forward and Center,Right,213,112,,2016.0,"October 26, 2016",4,False,1997-11-17,Bosnia and Herzegovina
burtode02,Deonte Burton,"Power Forward, Small Forward, and Shooting Guard",Left,193,108,,,"October 19, 2018",3,False,1994-01-31,Wisconsin
curryst01,Stephen Curry,Point Guard,Right,188,83,Davidson,2009.0,"October 28, 2009",17,True,1988-03-14,Ohio
nwabada01,David Nwaba,Small Forward and Shooting Guard,Right,196,99,Cal Poly,,"February 28, 2017",6,False,1993-01-14,California
jeromty01,Ty Jerome,Shooting Guard,Right,196,88,Virginia,2019.0,"December 2, 2019",7,True,1997-07-08,New York
oquinky01,Kyle O'Quinn,Center and Power Forward,Right,206,113,Norfolk State,2012.0,"November 2, 2012",8,False,1990-03-26,New York
mannte01,Terance Mann,Shooting Guard and Small Forward,Right,198,97,Florida State,2019.0,"October 24, 2019",7,True,1996-10-18,New York
schofad01,Admiral Schofield,Power Forward and Small Forward,Right,196,109,Tennessee,2019.0,"October 23, 2019",4,True,1997-03-30,United Kingdom
mathega01,Garrison Mathews,Shooting Guard,Right,196,97,Lipscomb,,"October 23, 2019",7,True,1996-10-24,Tennessee
fraziti01,Tim Frazier,Point Guard,Right,185,77,Penn State,,"February 6, 2015",8,False,1990-11-01,Texas
iguodan01,Andre Iguodala,"Small Forward, Shooting Guard, and Power Forward",Right,198,97,Arizona,2004.0,"November 3, 2004",19,False,1984-01-28,Illinois
zizican01,Ante Å½iÅ¾iÄ,Center,Right,208,120,,2016.0,"October 21, 2017",3,False,1997-01-04,Croatia
belljo01,Jordan Bell,Center,Right,203,97,Oregon,2017.0,"October 17, 2017",5,False,1995-01-07,California
sefolth01,Thabo Sefolosha,"Shooting Guard, Small Forward, and Power Forward",Right,198,97,,2006.0,"October 31, 2006",14,False,1984-05-02,Switzerland
cabocbr01,Bruno Caboclo,"Small Forward, Center, and Power Forward",Right,206,98,,2014.0,"November 21, 2014",7,False,1995-09-21,Brazil
jamesju01,Justin James,Small Forward,Right,198,86,Wyoming,2019.0,"October 25, 2019",2,True,1997-01-24,Florida
mcdanja01,Jalen McDaniels,Small Forward,Right,206,92,San Diego State,2019.0,"October 25, 2019",6,True,1998-01-31,Washington
payneca01,Cameron Payne,Point Guard and Shooting Guard,Left,188,83,Murray State,2015.0,"November 1, 2015",11,True,1994-08-08,Tennessee
carrode01,DeMarre Carroll,"Small Forward, Power Forward, and Center",Right,198,97,,2009.0,"October 28, 2009",11,False,1986-07-27,Alabama
feliccr01,Cristiano FelÃ­cio,Center,Right,211,122,,,"November 9, 2015",6,False,1992-07-07,Brazil
leaftj01,T.J. Leaf,Power Forward,Right,208,100,UCLA,2017.0,"October 18, 2017",4,False,1997-04-30,Israel
batumni01,Nicolas Batum,"Small Forward, Power Forward, and Shooting Guard",Right,201,104,,2008.0,"October 28, 2008",18,True,1988-12-14,France
langfro01,Romeo Langford,Shooting Guard,Right,196,97,Indiana,2019.0,"October 30, 2019",4,True,1999-10-25,Indiana
aminual01,Al-Farouq Aminu,Power Forward and Small Forward,Right,206,99,Wake Forest,2010.0,"October 27, 2010",11,False,1990-09-21,Georgia
colliza01,Zach Collins,Center and Power Forward,Right,206,113,Gonzaga,2017.0,"October 20, 2017",8,True,1997-11-19,Nevada
muldemy01,Mychal Mulder,Point Guard and Small Forward,Right,190,88,,,"February 27, 2020",3,False,1994-06-12,Ontario
broekry01,Ryan Broekhoff,Small Forward and Shooting Guard,Right,198,97,Valparaiso,,"October 17, 2018",2,False,1990-08-23,Australia
toscaju01,Juan Toscano-Anderson,Small Forward and Shooting Guard,Right,198,94,Marquette,,"February 8, 2020",5,False,1993-04-10,California
dudleja01,Jared Dudley,"Power Forward, Small Forward, and Shooting Guard",Right,198,107,Boston College,2007.0,"November 2, 2007",14,False,1985-07-10,California
looneke01,Kevon Looney,Center and Power Forward,Right,206,100,UCLA,2015.0,"January 27, 2016",11,True,1996-02-06,Wisconsin
claxtni01,Nic Claxton,Center,Left,211,97,Georgia,2019.0,"November 8, 2019",7,True,1999-04-17,South Carolina
swanica01,Caleb Swanigan,Power Forward and Center,Right,206,117,Purdue,2017.0,"October 18, 2017",3,False,1997-04-18,Indiana
martije02,Jeremiah Martin,Point Guard,Left,188,83,Memphis,,"January 31, 2020",2,False,1996-06-19,Tennessee
milescj01,C.J. Miles,"Small Forward, Shooting Guard, and Point Guard",Left,198,99,,2005.0,"November 14, 2005",16,False,1987-03-18,Texas
gabriwe01,Wenyen Gabriel,Power Forward and Center,Right,206,92,Kentucky,,"October 23, 2019",5,False,1997-03-26,Sudan
masonfr01,Frank Mason III,Point Guard,Right,180,86,Kansas,2017.0,"October 21, 2017",4,False,1994-04-03,Virginia
tuckera01,Rayjon Tucker,Shooting Guard and Point Guard,Right,190,94,,,"December 30, 2019",3,False,1997-09-24,North Carolina
turneev01,Evan Turner,"Small Forward, Shooting Guard, and Point Guard",Right,198,99,Ohio State,2010.0,"October 27, 2010",10,False,1988-10-27,Illinois
johnsst04,Stanley Johnson,Small Forward and Power Forward,Right,198,109,Arizona,2015.0,"October 27, 2015",8,False,1996-05-29,California
kiddgmi01,Michael Kidd-Gilchrist,Small Forward and Power Forward,Right,198,104,Kentucky,2012.0,"November 2, 2012",8,False,1993-09-26,Pennsylvania
smailal01,Alen SmailagiÄ,Power Forward and Center,Right,208,97,,2019.0,"December 27, 2019",2,False,2000-08-18,Serbia
coffeam01,Amir Coffey,Shooting Guard and Small Forward,Left,201,95,Minnesota,,"December 31, 2019",7,True,1997-06-17,Minnesota
metuch01,Chimezie Metu,Center and Power Forward,Right,208,102,USC,2018.0,"October 20, 2018",6,True,1997-03-22,California
nowelja01,Jaylen Nowell,Shooting Guard,Right,193,91,Washington,2019.0,"November 6, 2019",6,True,1999-07-09,Washington
pelleno01,Norvel Pelle,Center,Right,208,104,,,"November 29, 2019",3,False,1993-02-03,Antigua and Barbuda
antetth01,Thanasis Antetokounmpo,Small Forward and Power Forward,Right,201,99,,2014.0,"January 29, 2016",7,True,1992-07-18,Greece
konchjo01,John Konchar,Shooting Guard and Small Forward,Right,196,95,Purdue-Fort Wayne,,"November 9, 2019",7,True,1996-03-22,Illinois
shumpim01,Iman Shumpert,"Shooting Guard, Small Forward, and Point Guard",Right,196,96,Georgia Tech,2011.0,"December 25, 2011",10,False,1990-06-26,Illinois
waltode01,Derrick Walton,Point Guard,Right,183,85,Michigan,,"November 6, 2017",3,False,1995-04-03,Michigan
davised01,Ed Davis,Power Forward and Center,Left,206,98,UNC,2010.0,"December 1, 2010",12,False,1989-06-05,District of Columbia
allenka01,Kadeem Allen,Point Guard,Right,185,90,Arizona,2017.0,"December 11, 2017",3,False,1993-01-15,North Carolina
jeffrda01,DaQuan Jeffries,Shooting Guard,Right,196,100,,,"November 15, 2019",7,True,1997-08-30,Oklahoma
willijo04,Johnathan Williams,Power Forward and Center,Left,206,103,,,"October 22, 2018",2,False,1995-05-22,Tennessee
kabenmf01,Mfiondu Kabengele,Power Forward and Center,Right,208,113,Florida State,2019.0,"October 24, 2019",3,True,1997-08-14,Ontario
poirivi01,Vincent Poirier,Center,Right,213,106,,,"October 26, 2019",2,False,1993-10-17,France
bolbo01,Bol Bol,Power Forward,Right,221,99,Oregon,2019.0,"August 1, 2020",6,True,1999-11-16,Sudan
frazime01,Melvin Frazier,Shooting Guard,Left,198,95,Tulane,2018.0,"November 2, 2018",3,True,1996-08-30,Louisiana
wallaty01,Tyrone Wallace,Shooting Guard and Point Guard,Left,196,89,California,2016.0,"January 6, 2018",4,False,1994-06-10,California
watertr01,Tremont Waters,Point Guard,Right,178,79,LSU,2019.0,"November 25, 2019",3,True,1998-01-10,Connecticut
